	author	author_type	url	location	deal_type	accommodation_type	floor	floors_count	rooms_count	total_meters	price	district	street	house_number	underground	residential_complex
245	Никита Гаврилов	realtor	https://www.cian.ru/sale/flat/303910013/	Москва	sale	flat	5	17	2	58.0	19150000	Марьино	Новочеркасский бульвар	47	Марьино	
246	MR Group	developer	https://www.cian.ru/sale/flat/301223453/	Москва	sale	flat	2	39	2	60.57	21980883	Западное Дегунино	Северный ао		Селигерская	Селигер Сити ЖК
247	PROНЕДВИЖИМОСТЬ	real_estate_agent	https://www.cian.ru/sale/flat/302903145/	Москва	sale	flat	10	12	2	44.0	10600000	Дмитровский	Клязьминская 	4	Грачёвская	
248	Sminex	developer	https://www.cian.ru/sale/flat/293713671/	Москва	sale	flat	2	14	1	72.6	133830000	Якиманка			Полянка	Лаврушинский ЖК
249	PROНЕДВИЖИМОСТЬ	real_estate_agent	https://www.cian.ru/sale/flat/303779368/	Москва	sale	flat	9	12	1	35.0	10200000	Новогиреево	Союзный проспект	20К1	Новогиреево	
250	Hutton Development	developer	https://www.cian.ru/sale/flat/299066783/	Москва	sale	flat	3	17	2	100.6	50199400	Гагаринский	Ленинский проспект	38	Ленинский проспект	Lunar
251	Лофт Инвест	real_estate_agent	https://www.cian.ru/sale/flat/299893948/	Москва	sale	flat	5	16	1	38.9	10990000	Отрадное	Алтуфьевское шоссе	2	Владыкино	
252	РГ-Девелопмент	developer	https://www.cian.ru/sale/flat/297536389/	Москва	sale	flat	24	25	2	54.7	22427000	Щукино	 Берзарина	32	Щукинская	Октябрьское поле
253	Данил Пшеничный	realtor	https://www.cian.ru/sale/flat/303857944/	Москва	sale	flat	16	35	1	39.1	19000000	Останкинский	 Годовикова	11к4	Алексеевская	iLove
254	Level Group	developer	https://www.cian.ru/sale/flat/302985345/	Москва	sale	flat	2	11	2	31.0	27492377	Хорошево-Мневники	Причальный проезд	10А	Шелепиха	Level Причальный
255	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/300015723/	Москва	sale	flat	20	39	2	64.0	37000000	Раменки	 Лобачевского	120к1	Аминьевская	Крылья
256	Level Group	developer	https://www.cian.ru/sale/flat/301555238/	Москва	sale	flat	13	24	2	45.6	19226800	Покровское-Стрешнево	Северо-Западный ао		Тушинская	Левел Стрешнево ЖК
257	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/290001136/	Москва	sale	flat	2	6	2	75.0	84750000	Замоскворечье	Большой Ордынский переулок	4С4	Третьяковская	Собрание клубных домов ORDYNKA
258	Группа Родина	developer	https://www.cian.ru/sale/flat/293156291/	Москва	sale	flat	2	24	1	40.3	23694900	Ростокино		к3	Ботанический сад	Союз ЖК
259	Whitewill Москва-Сити	real_estate_agent	https://www.cian.ru/sale/flat/299723346/	Москва	sale	flat	63	66	1	86.0	90000000	Пресненский	1-й Красногвардейский проезд	22	Деловой центр	NEVA TOWERS
260	MR Group	developer	https://www.cian.ru/sale/flat/303541823/	Москва	sale	flat	18	44	1	41.34	21971194	Марьина роща	 4-я Марьиной рощи	12К3	Марьина Роща	Mod
261	Алина Валиуллина	realtor	https://www.cian.ru/sale/flat/304000697/	Москва	sale	flat	5	12	2	52.0	28900000	Мещанский	переулок Васнецова	3	Цветной бульвар	
262	РГ-Девелопмент	developer	https://www.cian.ru/sale/flat/292534789/	Москва	sale	flat	2	25	2	54.5	18393750	Соколиная гора			Соколиная гора	Семеновский Парк 2 ЖК
263	GRAND ESTATE - Премиальная недвижимость	real_estate_agent	https://www.cian.ru/sale/flat/302998801/	Москва	sale	flat	9	9	2	46.0	27600000	Хамовники	3-я Фрунзенская 	17	Спортивная	
264	РГ-Девелопмент	developer	https://www.cian.ru/sale/flat/300921483/	Москва	sale	flat	2	19	2	62.8	25170240	Савеловский	Старый Петровско-Разумовский проезд	1/23С5	Гражданская	Петровский парк II
265	PROНЕДВИЖИМОСТЬ	real_estate_agent	https://www.cian.ru/sale/flat/303779112/	Москва	sale	flat	16	17	1	38.2	9400000	Орехово-Борисово Южное	Гурьевский проезд	31К2	Зябликово	
266	Level Group	developer	https://www.cian.ru/sale/flat/303284920/	Москва	sale	flat	29	31	2	40.1	18747400	Западное Дегунино	Северный ао	к3	Верхние Лихоборы	Левел Селигерская ЖК
267	Арт Риэлти	real_estate_agent	https://www.cian.ru/sale/flat/301259458/	Москва	sale	flat	3	26	2	36.0	16580000	Лефортово	 Крузенштерна	12к3	Авиамоторная	Символ
268	Основа	developer	https://www.cian.ru/sale/flat/297432252/	Москва	sale	flat	4	31	2	46.05	21183000	Марфино		к1	Улица Милашенкова	Вери ЖК
269	NF Group - ex-Knight Frank	real_estate_agent	https://www.cian.ru/sale/flat/302590858/	Москва	sale	flat	3	8	2	59.3	48800000	Даниловский	Хавская 	9	Шаболовская	Residence Hall Шаболовский
270	Level Group	developer	https://www.cian.ru/sale/flat/302621324/	Москва	sale	flat	2	64	2	34.9	19444126	Хорошево-Мневники			Народное Ополчение	Левел Звенигородская ЖК
271	EXCLUSIVE CITY	real_estate_agent	https://www.cian.ru/sale/flat/298381402/	Москва	sale	flat	8	21	2	51.0	45000000	Пресненский	набережная Пресненская	10с2	Деловой центр	МФК IQ-квартал
272	Группа Родина	developer	https://www.cian.ru/sale/flat/293200702/	Москва	sale	flat	11	13	2	47.0	14817000		 1-я Ватутинская	12к2	Ольховая	Russian Design District
273	Князев и Партнёры	real_estate_agent	https://www.cian.ru/sale/flat/303275971/	Москва	sale	flat	3	13	2	65.6	49800000	Пресненский	Большая Садовая 	5к1	Маяковская	Квартал апартаментов Сады Пекина
274	Level Group	developer	https://www.cian.ru/sale/flat/301565134/	Москва	sale	flat	11	23	2	34.9	12063811	Печатники		13	Кожуховская	Левел Южнопортовая ЖК
275	Князев и Партнёры	real_estate_agent	https://www.cian.ru/sale/flat/303397064/	Москва	sale	flat	30	41	2	57.0	30000000	Раменки	1-й Сетуньский проезд	вл6	Кутузовская	Hide
276	GloraX	developer	https://www.cian.ru/sale/flat/303477025/	Москва	sale	flat	4	21	1	53.11	29079999	Беговой	 1-я Ямского Поля	28С3	Белорусская	GloraX Premium Белорусская
